id,topic,category
1,Ye 10 Desh Bina Visa Ke Ghoom Sakte Ho Indians,visa_free
2,Visa on Arrival Wale 15 Desh Jo Koi Nahi Batata,visa_free
3,Bina Visa Ke Dubai Kaise Jaye Full Guide,visa_free
4,Indonesia Visa Free Hai Ya Nahi Poora Sach,visa_free
5,Nepal Bhutan Free Entry Indians Ke Liye Kyu,visa_free
6,Sri Lanka Visa 2 Minute Me Kaise Milta Hai,visa_free
7,Maldives Visa Free Trip Under Budget,visa_free
8,Thailand Visa On Arrival Full Process Dikhaya,visa_free
9,Kenya Africa Bina Visa Ke Jaane Ka Jugaad,visa_free
10,Malaysia E-Visa 5 Minute Me Kaise Banaye,visa_free
11,Ye Desh Indian Passport Se Free Ghoom Sakte Ho,visa_free
12,Duniya Ke Sabse Powerful Indian Visa Free Countries,visa_free
13,Rs 15000 Me Nepal Ki Poori Trip,budget_yatra
14,Rs 20000 Me Videsh Yatra Kaise Karein,budget_yatra
15,Rs 25000 Me Sri Lanka Poora Ghoom Aaye,budget_yatra
16,Rs 30000 Me Thailand Trip Flight Se Khana Tak,budget_yatra
17,Rs 35000 Me Vietnam Backpacking Guide,budget_yatra
18,Rs 40000 Me Bali Indonesia Honeymoon Trip,budget_yatra
19,Rs 10000 Me Bhutan Trip Possible Hai Kya,budget_yatra
20,Rs 50000 Me Dubai Full Trip Budget Breakdown,budget_yatra
21,Sabse Sasta Videsh Trip Kaunsa Hai 2026,budget_yatra
22,1 Mahine Ki Salary Me Pura Southeast Asia,budget_yatra
23,Rs 45000 Me Singapore Malaysia Combo Trip,budget_yatra
24,Student Budget Me Europe Kaise Ghoome,budget_yatra
25,Rs 8000 Me India Ke Sabse Sasta Hill Station,budget_yatra
26,Zero Budget Travel Hacks Jo Koi Nahi Batata,budget_yatra
27,Ye Desh Indians Se Sabse Zyada Pyar Karta Hai,love_hate
28,Is Desh Me Indians Ko Dekhte Hi Log Bhag Jaate Hai,love_hate
29,Japan Me Indians Ko Kaise Treat Karte Hai Sach,love_hate
30,China Me Indian Traveler Ke Saath Kya Hota Hai,love_hate
31,Georgia Indians Ko Kyu Itna Pasand Karta Hai,love_hate
32,Vietnam Me Indians Ke Saath Racism Sach Ya Jhooth,love_hate
33,Ye African Desh Indians Ka Dil Se Swagat Karta Hai,love_hate
34,Kaunsa Desh Indian Culture Sabse Zyada Respect Karta Hai,love_hate
35,Pakistan Border Ke Paas Wale Desh Indians Ko Kaise Dekhte Hai,love_hate
36,Middle East Me Indian Workers Ke Saath Asli Scene,love_hate
37,Airport Pe Ye 5 Galti Kabhi Mat Karna,airport_scam
38,Bangkok Airport Ka Sabse Bada Scam Dikhaya,airport_scam
39,Taxi Wale Kaise Loot Te Hai Videsh Me Indians Ko,airport_scam
40,Currency Exchange Scam Se Kaise Bacho,airport_scam
41,Dubai Airport Pe Ye Cheez Kabhi Mat Karna,airport_scam
42,Fake Tour Guide Scam Jo Har Indian Ke Saath Hota Hai,airport_scam
43,SIM Card Scam Videsh Me Kaise Hota Hai,airport_scam
