id,topic,category
1,Rs 500 Me Kaunsa Desh Ghoom Sakte Ho,quick_budget
2,Rs 1000 Me Ek Din Nepal Me Kaise Guzaro,quick_budget
3,Rs 2000 Me Thailand Ka Full Din,quick_budget
4,Rs 300 Me Sri Lanka Ka Khana,quick_budget
5,Rs 5000 Me Weekend Trip Kaha Jaye,quick_budget
6,Rs 100 Me Ye Country Ka Street Food,quick_budget
7,1 Rupya Kitna Chalta Hai Vietnam Me,quick_budget
8,Sabse Sasta Flight Ticket Dhundhne Ka Jugaad,quick_budget
9,Rs 700 Me Bali Ka Beach Din,quick_budget
10,Free Me Ghoomo Ye 5 Jagah Goa Me,quick_budget
11,Zero Rupaye Me Ye Museum Ghoomo,quick_budget
12,Rs 200 Me Dubai Metro Se Full City,quick_budget
13,Student Ke Liye Sabse Sasta Trip Hack,quick_budget
14,Rs 1500 Me Malaysia Ka Din,quick_budget
15,Backpacker Ka Sabse Bada Paisa Bachane Ka Jugaad,quick_budget
16,Airport Pe Ye 3 Cheez Kabhi Mat Karna,airport_dos_donts
17,Boarding Pass Kho Jaye To Kya Karo,airport_dos_donts
18,Airport Pe Jaldi Nikalne Ka Secret Trick,airport_dos_donts
19,Immigration Line Me Ye Galti Mat Karna,airport_dos_donts
20,Liquid Carry Karne Ka Sahi Tarika,airport_dos_donts
21,Airport Lounge Free Me Kaise Milta Hai,airport_dos_donts
22,Security Check Pe Time Bachane Ka Jugaad,airport_dos_donts
23,Connecting Flight Miss Ho Jaye To Kya Kare,airport_dos_donts
24,Excess Baggage Se Bachne Ka Tarika,airport_dos_donts
25,Airport Pe Currency Exchange Kabhi Mat Karo,airport_dos_donts
26,Fast Track Immigration Kaise Milta Hai,airport_dos_donts
27,Airport Pe Free WiFi Kaise Dhundhe,airport_dos_donts
28,Desh Jaha Indian Ladko Ko Dekhte Hi Bhag Jaate Hai,reactions
29,Videsh Me Log Indians Se Ye Sawaal Pucchte Hai,reactions
30,Foreigners Indian Accent Sunke Kya Bolte Hai,reactions
31,Japan Me Indians Ko Dekh Ke Log Kya Karte Hai,reactions
32,China Me Indian Tourist Ka Reaction Video,reactions
33,Videsh Me Namaste Bolne Pe Kya Hota Hai,reactions
34,Foreigners Ko Indian Khana Khilaya Reaction,reactions
35,Videsh Me Bollywood Song Bajaya Toh Kya Hua,reactions
36,Indian Passport Dekh Ke Immigration Officer Ka Reaction,reactions
37,Africa Me Indians Ko Kaise Treat Karte Hai,reactions
38,Middle East Me Hindi Bolne Pe Reaction,reactions
39,Georgia Me Indian Tourist Ka Sach,reactions
40,Passport Par Ye Galti Hui To Jail Hogi,passport_docs
41,Visa Form Me Ye Mistake Kabhi Mat Karna,passport_docs
42,Passport Expiry Se Pehle Ye Kaam Zaroor Karo,passport_docs
43,Videsh Jaane Se Pehle Ye 5 Document Rakho,passport_docs
44,Passport Kho Jaye Videsh Me To Kya Kare,passport_docs
45,Tatkal Passport Kaise Banaye 3 Din Me,passport_docs
46,Visa Rejection Ki Sabse Badi Wajah,passport_docs
47,Overstay Visa Karne Pe Kya Punishment Milti Hai,passport_docs
48,International Driving License Kaise Banaye,passport_docs
49,Minor Ke Liye Passport Rules Kya Hai,passport_docs
50,Free Me Ghoomo Ye 5 Jagah Goa Me,free_hidden_gems
51,Mumbai Ke Paas Ye Free Waterfall Kisi Ko Nahi Pata,free_hidden_gems
52,Delhi Ki Ye Jagah Free Entry Hai Aur Khoobsurat Bhi,free_hidden_gems
53,Bangalore Ke Paas Ye Trek Zero Cost Me,free_hidden_gems
54,Himachal Ka Ye View Point Free Hai Sabke Liye,free_hidden_gems
55,Kerala Ka Ye Beach Kisi Ko Pata Nahi,free_hidden_gems
56,Rajasthan Ki Ye Free Entry Heritage Site,free_hidden_gems
57,Pune Ke Paas Ye Hidden Fort Free Me Ghoomo,free_hidden_gems
58,Chennai Ka Ye Secret Beach Sunset Point,free_hidden_gems
59,Kolkata Ki Ye Jagah Free Aur History Se Bhari,free_hidden_gems
60,Northeast India Ki Ye Free Jagah Switzerland Jaisi,free_hidden_gems
61,Ladakh Ka Ye View Point Bina Ticket Ke,free_hidden_gems
62,Andaman Ka Ye Beach Free Entry Secret Spot,free_hidden_gems
63,Videsh Me Indian Khana Kaha Milega,food_abroad
64,Thailand Me Vegetarian Khana Kaise Order Kare,food_abroad
65,Bali Me Roti Sabzi Kaha Milegi,food_abroad
66,Dubai Ka Sabse Sasta Indian Dhaba,food_abroad
67,Vietnam Me Jain Khana Milta Hai Kya,food_abroad
68,Videsh Me Maggi Dhundhne Ka Jugaad,food_abroad
69,Foreign Me Chai Kaise Order Kare,food_abroad
70,Bangkok Ki Indian Sweet Shop Kaha Hai,food_abroad
71,Videsh Me Sabse Sasta Thali Kaha Milti Hai,food_abroad
72,Airport Pe Indian Food Court Kaise Dhundhe,food_abroad
73,Is Desh Me Jana Matlab Maut Ko Bulana,scam_alerts
74,Ye Scam Har Second Indian Tourist Ke Saath Hota Hai,scam_alerts
75,Taxi Wale Ka Ye Trick Kabhi Follow Mat Karna,scam_alerts
76,Fake Guide Pehchaanne Ka Tarika,scam_alerts
77,Hotel Overbooking Scam Se Kaise Bacho,scam_alerts
78,Street Vendor Ka Sabse Bada Jhansa,scam_alerts
79,Currency Note Scam Videsh Me Kaise Hota Hai,scam_alerts
80,SIM Card Wale Ka Scam Dikhaya,scam_alerts
81,Ye Photo Scam Se Paisa Loot Liya Jaata Hai,scam_alerts
82,Fake Ticket Counter Se Kaise Bacho,scam_alerts
83,ATM Skimming Se Bachne Ka Tarika,scam_alerts
84,Beach Pe Ye Scam Sabse Zyada Hota Hai,scam_alerts
85,3 Desh Jaha 1 Rupya 100 Rupya Ban Jaata Hai,rapid_facts
86,Duniya Ka Sabse Chhota Desh Kaunsa Hai,rapid_facts
87,Ye Desh Raat Ko Bhi Din Jaisa Rehta Hai,rapid_facts
88,Duniya Ka Sabse Saaf Desh Kaunsa Hai,rapid_facts
89,Ye Island Sirf 100 Log Reh Sakte Hai,rapid_facts
90,Duniya Ka Sabse Purana Sheher Kaunsa Hai,rapid_facts
91,Ye Desh Ka Passport Sabse Powerful Hai,rapid_facts
92,Duniya Me Sabse Zyada Visa Free Desh Kiske Paas Hai,rapid_facts
93,Ye Desh Me Traffic Signal Hi Nahi Hai,rapid_facts
94,Duniya Ka Sabse Thanda Desh Kaunsa Hai,rapid_facts
95,Ye Desh Sirf Solar Energy Pe Chalta Hai,rapid_facts
