day,topic,category,pdf_dm_keyword,notes
1,90% Local Business Yeh Marketing Mistake Karte Hain,common_mistakes,GUIDE,Strong opener - directly teases the checklist PDF
2,Google My Business Profile Complete Nahi Hai To Customer Kho Rahe Ho,marketing_tips,GMB,Actionable + easy to demo on screen (Reel: show a bad vs good GMB profile)
3,AI Kaise Local Business Ka Marketing Sasta Bana Raha Hai,ai_for_business,AI,ELYNE's core differentiator - AI-powered agency
4,WhatsApp Business Se Free Me Marketing Kaise Kare,marketing_tips,WHATSAPP,Every local business owner already uses WhatsApp - low barrier topic
5,Ek Local Restaurant Ka Instagram 0 Se 10k Kaise Pahuncha,case_study,CONTENT,Proof + naturally leads to "want a content plan like this?"
6,Local Business Ke Liye Google Reviews Kitne Zaroori Hai,marketing_tips,REVIEWS,High-intent topic - reviews directly affect walk-in customers
7,Local SEO Kya Hai Aur Chhote Business Ke Liye Kyu Zaroori Hai,marketing_tips,SEO,Educational, positions ELYNE as the expert
8,Sirf Discount Dena Marketing Nahi Hai - Yeh Galti Sab Karte Hain,common_mistakes,GUIDE,Second checklist mention - reinforces the lead magnet
9,Festive Season Offer Kaise Design Kare Jo Actually Bike,seasonal,FESTIVE,Time this one close to an actual festive season for max relevance
10,ChatGPT Se Business Content Likhwana - Kya Sach Me Kaam Karta Hai,ai_for_business,AI,Closes the week on ELYNE's AI angle again - repetition builds positioning
